feature_name,feature_label,feature_group,feature_family,task_specific,valid_task_types,language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,applicable,valid_effect,min5_cell,robust_min10_cell,n_ad,n_hc,mean_ad,mean_hc,cohens_d,cohens_d_abs,direction,welch_p,anova_p,welch_bonferroni_p,anova_bonferroni_p,welch_significant_bonferroni,anova_significant_bonferroni,welch_rank,anova_rank,welch_top_5,anova_top_5,welch_top_10,anova_top_10,welch_top_20,anova_top_20,welch_top_50,anova_top_50,welch_top_100,anova_top_100
syn_num_ratio,num ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.006258965112773682,0.008974471169000426,-0.1258264192670382,0.1258264192670382,lower_in_AD,0.5033143692796043,0.4739689593352401,1.0,1.0,False,False,166.0,161.0,False,False,False,False,False,False,False,False,False,False
syn_noun_verb_ratio,noun/verb ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,73,56,0.7039872828597145,0.8594225798318115,-0.22618855304337304,0.22618855304337304,lower_in_AD,0.21867698282281964,0.20523681134090277,1.0,1.0,False,False,121.0,118.0,False,False,False,False,False,False,False,False,False,False
syn_pronoun_noun_ratio,pronoun noun ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,72,56,1.162063323613569,0.7448760462809833,0.46541914547459673,0.46541914547459673,higher_in_AD,0.006207464750135096,0.010090632534847929,1.0,1.0,False,False,35.0,38.0,False,False,False,False,False,False,True,True,True,True
syn_determiner_noun_ratio,determiner noun ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,72,56,1.0723277811513106,1.0933922068244546,-0.03945845585204834,0.03945845585204834,lower_in_AD,0.8130700477310253,0.8250927594349061,1.0,1.0,False,False,193.0,194.0,False,False,False,False,False,False,False,False,False,False
syn_aux_verb_ratio,aux verb ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,73,56,0.6848315583201501,0.5500062962247837,0.23536527995380757,0.23536527995380757,higher_in_AD,0.16872812814286534,0.18756316694445488,1.0,1.0,False,False,109.0,116.0,False,False,False,False,False,False,False,False,False,False
syn_content_function_ratio,content function ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,74,56,0.9395555947269683,1.067798117260305,-0.419211535522566,0.419211535522566,lower_in_AD,0.022630311811597675,0.01943913356700044,1.0,1.0,False,False,52.0,47.0,False,False,False,False,False,False,False,True,True,True
syn_open_closed_ratio,open closed ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,74,56,0.9276920999202313,1.0450374218003642,-0.4001824422855264,0.4001824422855264,lower_in_AD,0.02775155011905417,0.025548215180594174,1.0,1.0,False,False,53.0,52.0,False,False,False,False,False,False,False,False,True,True
syn_clause_density,clause density,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,2.505471721261195,2.3658074112713994,0.04610334754498891,0.04610334754498891,higher_in_AD,0.7730963123711264,0.7928728759804397,1.0,1.0,False,False,191.0,191.0,False,False,False,False,False,False,False,False,False,False
syn_subordination_ratio,subordination ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.7365496569550051,0.7266653309243337,0.007653621749324238,0.007653621749324238,higher_in_AD,0.9616702843318727,0.9652257699536932,1.0,1.0,False,False,222.0,224.0,False,False,False,False,False,False,False,False,False,False
syn_nsubj_ratio,nsubj ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.0705308729268432,0.05596459898615835,0.3436730577128067,0.3436730577128067,higher_in_AD,0.043820642866858175,0.05195445958608146,1.0,1.0,False,False,65.0,64.0,False,False,False,False,False,False,False,False,True,True
