run_name,subset_name,top_k,num_selected_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_en_pd_ctp_phase2,phase1_universal,100,100,lr,c1,0.7902439024390244,0.735662859980139,0.7313237221494102,0.6226415094339622,0.8486842105263158,0.5892857142857143,0.8424776564051638,0.7509804711020587
language_en_pd_ctp_phase2,rich_universal,100,100,lr,c1,0.7853658536585366,0.7200844091360477,0.7200844091360477,0.5849056603773585,0.8552631578947368,0.5849056603773585,0.7939424031777557,0.69785891185525
language_en_pd_ctp_phase2,rich_universal,50,50,dt,depth20,0.7829268292682927,0.7000062065541212,0.7067168197783297,0.5283018867924528,0.8717105263157895,0.5894736842105263,0.7043507944389275,0.450672393516388
language_en_pd_ctp_phase2,rich_universal,100,100,dt,depth20,0.7707317073170732,0.6794935451837141,0.6870635616616324,0.49056603773584906,0.868421052631579,0.5652173913043478,0.6782522343594836,0.40442630349191105
language_en_pd_ctp_phase2,task_specific_semantic,50,28,rf,n200,0.7682926829268293,0.6164039225422046,0.629397044691196,0.3018867924528302,0.930921052631579,0.6037735849056604,0.7653301886792453,0.5401773907251964
language_en_pd_ctp_phase2,task_specific_semantic,100,28,rf,n200,0.7682926829268293,0.6164039225422046,0.629397044691196,0.3018867924528302,0.930921052631579,0.6037735849056604,0.7653301886792453,0.5401773907251964
language_en_pd_ctp_phase2,phase1_universal,100,100,dt,depth20,0.7682926829268293,0.6901377855014896,0.6930436358764609,0.5283018867924528,0.8519736842105263,0.5544554455445545,0.6894395481628599,0.4178137814583291
language_en_pd_ctp_phase2,phase1_universal,50,50,dt,depth20,0.7634146341463415,0.6960650446871897,0.6942533153949644,0.5566037735849056,0.8355263157894737,0.5412844036697247,0.6996803624627607,0.4190580599439334
language_en_pd_ctp_phase2,semantic_plus_pause,50,49,svm,rbf_c1,0.7609756097560976,0.7189982621648461,0.7054597701149425,0.6320754716981132,0.805921052631579,0.5317460317460317,0.7733987090367428,0.615583076580623
language_en_pd_ctp_phase2,semantic_plus_pause,100,49,svm,rbf_c1,0.7609756097560976,0.7189982621648461,0.7054597701149425,0.6320754716981132,0.805921052631579,0.5317460317460317,0.7733987090367428,0.615583076580623
language_en_pd_ctp_phase2,all_phase2,50,50,dt,depth20,0.7439024390243902,0.6767626613704072,0.6729195632849361,0.5377358490566038,0.8157894736842105,0.504424778761062,0.6776936444885799,0.3933103500521816
language_en_pd_ctp_phase2,all_phase2,100,100,dt,depth20,0.7390243902439024,0.6734731876861966,0.6686030261597384,0.5377358490566038,0.8092105263157895,0.4956521739130435,0.6734731876861966,0.3860421376978331
language_en_pd_ctp_phase2,semantic_plus_pause,50,49,svm,linear_c1,0.7365853658536585,0.7117676266137041,0.6878524701105346,0.660377358490566,0.7631578947368421,0.49295774647887325,0.7767812810327706,0.5794233898302308
language_en_pd_ctp_phase2,semantic_plus_pause,100,49,svm,linear_c1,0.7365853658536585,0.7117676266137041,0.6878524701105346,0.660377358490566,0.7631578947368421,0.49295774647887325,0.7767812810327706,0.5794233898302308
language_en_pd_ctp_phase2,semantic_plus_pause,50,49,lr,c1,0.7292682926829268,0.7221946375372392,0.6880718853453416,0.7075471698113207,0.7368421052631579,0.4838709677419355,0.7858118172790467,0.596125315854487
language_en_pd_ctp_phase2,semantic_plus_pause,100,49,lr,c1,0.7292682926829268,0.7221946375372392,0.6880718853453416,0.7075471698113207,0.7368421052631579,0.4838709677419355,0.7858118172790467,0.596125315854487
language_en_pd_ctp_phase2,task_specific_semantic,50,28,svm,linear_c1,0.7170731707317073,0.6986097318768619,0.6706006205673759,0.660377358490566,0.7368421052631579,0.4666666666666667,0.7753227408143,0.5521218681933892
language_en_pd_ctp_phase2,task_specific_semantic,100,28,svm,linear_c1,0.7170731707317073,0.6986097318768619,0.6706006205673759,0.660377358490566,0.7368421052631579,0.4666666666666667,0.7753227408143,0.5521218681933892
language_en_pd_ctp_phase2,task_specific_semantic,50,28,svm,rbf_c1,0.7121951219512195,0.689175769612711,0.6634762527475585,0.6415094339622641,0.7368421052631579,0.4594594594594595,0.7519550645481629,0.5600112546003111
language_en_pd_ctp_phase2,task_specific_semantic,100,28,svm,rbf_c1,0.7121951219512195,0.689175769612711,0.6634762527475585,0.6415094339622641,0.7368421052631579,0.4594594594594595,0.7519550645481629,0.5600112546003111
language_en_pd_ctp_phase2,task_specific_semantic,50,28,lr,c1,0.7097560975609756,0.7090367428003972,0.6708249279781944,0.7075471698113207,0.7105263157894737,0.4601226993865031,0.7843532770605761,0.5704843062902153
language_en_pd_ctp_phase2,task_specific_semantic,100,28,lr,c1,0.7097560975609756,0.7090367428003972,0.6708249279781944,0.7075471698113207,0.7105263157894737,0.4601226993865031,0.7843532770605761,0.5704843062902153
language_en_pd_ctp_phase2,task_specific_semantic,50,28,dt,depth20,0.7073170731707317,0.6398026315789473,0.6335031733261822,0.5,0.7796052631578947,0.44166666666666665,0.6398026315789473,0.35010162601626016
language_en_pd_ctp_phase2,task_specific_semantic,100,28,dt,depth20,0.7073170731707317,0.6398026315789473,0.6335031733261822,0.5,0.7796052631578947,0.44166666666666665,0.6398026315789473,0.35010162601626016
language_en_pd_ctp_phase2,semantic_plus_pause,50,49,dt,depth20,0.6804878048780488,0.6217105263157895,0.6112787777464157,0.5,0.743421052631579,0.40458015267175573,0.6217105263157896,0.3315583690188047
language_en_pd_ctp_phase2,semantic_plus_pause,100,49,dt,depth20,0.6804878048780488,0.6217105263157895,0.6112787777464157,0.5,0.743421052631579,0.40458015267175573,0.6217105263157896,0.3315583690188047
