feature_name,f_score,p_value
ac_egemaps_mfcc4v_sma3nz_amean,1.0675097818840764,0.30164256319979105
pause_std_duration,1.0553554064471222,0.30441012194920886
pause_short_count,1.0485274042130561,0.30597928000288793
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,1.0035942723520237,0.3165723176770037
ac_zcr_mean,1.0026886166098976,0.3167907145054868
len_audio_duration,0.9936006595586279,0.31899324060877055
ac_egemaps_mfcc4v_sma3nz_stddevnorm,0.9718259023932144,0.32435309840293447
lex_mean_token_length,0.9650589711743807,0.32604297601479004
ac_f0_mean,0.951500758195013,0.329464089425237
ac_egemaps_mfcc3_sma3_amean,0.9464416142184345,0.33075286884332944
syn_utterance_count,0.9374138922812504,0.33306934909851815
len_utterance_count,0.9374138922812504,0.33306934909851815
syn_num_ratio,0.9288036964657725,0.3352989185275166
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,0.861798588738771,0.3533559864157729
ac_egemaps_mfcc4_sma3_stddevnorm,0.8530025795984651,0.35582378116117985
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,0.8498598224704851,0.3567112341691503
syn_subordination_ratio,0.7670559784601978,0.38124213681301855
ac_egemaps_f3bandwidth_sma3nz_stddevnorm,0.7655209172989675,0.381718928897694
ac_egemaps_mfcc3_sma3_stddevnorm,0.7364864489344769,0.39089899869936606
disc_repeated_bigram_ratio,0.7012147036350834,0.4024831292247407
ac_egemaps_f2frequency_sma3nz_amean,0.5542015119660031,0.45669981151581496
ac_egemaps_mfcc2_sma3_stddevnorm,0.5522639326455326,0.4574877242246388
ac_egemaps_loudness_sma3_meanfallingslope,0.5514944545159053,0.457801226425673
ac_egemaps_mfcc4_sma3_amean,0.5452107109501113,0.4603741292487016
ac_egemaps_stddevvoicedsegmentlengthsec,0.542269793491015,0.46158618259804995
ac_egemaps_loudness_sma3_stddevrisingslope,0.5417758062643391,0.4617902689919561
ac_egemaps_alpharatiov_sma3nz_stddevnorm,0.5123425583997196,0.4742161402344518
ac_egemaps_mfcc2_sma3_amean,0.4433857109465016,0.5055751752297537
ac_egemaps_f3frequency_sma3nz_amean,0.4210765794856954,0.5164802357334766
ac_duration,0.3954279095933644,0.5295369797026412
ac_egemaps_slopeuv0_500_sma3nz_amean,0.38213680973914427,0.5365373464031485
pause_long_count,0.3713205871938162,0.5423595373552584
ac_egemaps_slopeuv500_1500_sma3nz_amean,0.3511384628286036,0.5535412179829344
ac_egemaps_mfcc2v_sma3nz_amean,0.3487443161492631,0.5548963554016055
disc_repeated_trigram_ratio,0.3410935220508588,0.5592693295685833
ac_egemaps_shimmerlocaldb_sma3nz_amean,0.3365432180756175,0.5619014493058037
ac_egemaps_f1frequency_sma3nz_stddevnorm,0.331857872802295,0.5646366556864421
ac_egemaps_spectralfluxuv_sma3nz_amean,0.32347667211122433,0.5695942245195319
