run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_en_cookie_theft_clean_phase2,task_specific_semantic,100,20,rf,n200,0.6136921685189971,0.6252804487179487,0.2924528301886792,0.934931506849315,0.62,0.7432637632463169,0.5297093764731586,0.7638190954773869
language_en_cookie_theft_clean_phase2,semantic_plus_pause,50,41,svm,rbf_c1,0.711133367795296,0.704098482536254,0.6037735849056604,0.8184931506849316,0.5470085470085471,0.7657825019384854,0.6221911144876697,0.7613065326633166
language_en_cookie_theft_clean_phase2,semantic_plus_pause,100,41,svm,rbf_c1,0.711133367795296,0.704098482536254,0.6037735849056604,0.8184931506849316,0.5470085470085471,0.7657825019384854,0.6221911144876697,0.7613065326633166
language_en_cookie_theft_clean_phase2,all_phase2,50,50,dt,depth20,0.701699405531145,0.6961951603383829,0.5849056603773585,0.8184931506849316,0.5391304347826087,0.7061579219436547,0.4334516820788613,0.7562814070351759
language_en_cookie_theft_clean_phase2,semantic_plus_pause,50,41,svm,linear_c1,0.7141703282501939,0.695773381294964,0.6509433962264151,0.7773972602739726,0.5149253731343284,0.7666548203670199,0.5781118898577529,0.7437185929648241
language_en_cookie_theft_clean_phase2,semantic_plus_pause,100,41,svm,linear_c1,0.7141703282501939,0.695773381294964,0.6509433962264151,0.7773972602739726,0.5149253731343284,0.7666548203670199,0.5781118898577529,0.7437185929648241
language_en_cookie_theft_clean_phase2,rich_universal,100,100,dt,depth20,0.6712651848022745,0.6670770202020202,0.5377358490566038,0.8047945205479452,0.5,0.6712651848022745,0.3919835024177491,0.7336683417085427
language_en_cookie_theft_clean_phase2,task_specific_semantic,50,20,svm,rbf_c1,0.6828637890927889,0.671496698459281,0.5849056603773585,0.7808219178082192,0.492063492063492,0.7405821917808219,0.5642372157605391,0.7286432160804021
language_en_cookie_theft_clean_phase2,task_specific_semantic,100,20,svm,rbf_c1,0.6828637890927889,0.671496698459281,0.5849056603773585,0.7808219178082192,0.492063492063492,0.7405821917808219,0.5642372157605391,0.7286432160804021
language_en_cookie_theft_clean_phase2,semantic_plus_pause,50,41,lr,c1,0.7124903075730162,0.6833043981481481,0.6886792452830188,0.7363013698630136,0.4866666666666667,0.7769772551046782,0.5962890882827396,0.7236180904522613
