language_code,language,seed,ranking_method,top_k,num_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
el,Greek,44,anova,10,10,52,29,SVM,0.6730769230769231,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7348484848484849
el,Greek,44,anova,20,20,52,29,RF,0.7884615384615384,{'clf__n_estimators': 100},0.7537878787878788
el,Greek,44,anova,50,50,52,29,RF,0.8076923076923077,{'clf__n_estimators': 200},0.7225378787878788
el,Greek,44,anova,100,100,52,29,RF,0.8076923076923077,{'clf__n_estimators': 100},0.7166666666666667
el,Greek,44,anova,all,192,52,29,DT,0.7692307692307693,{'clf__max_depth': 10},0.6935606060606061
el,Greek,44,welch,5,5,52,29,RF,0.7307692307692307,{'clf__n_estimators': 50},0.6984848484848485
el,Greek,44,welch,10,10,52,29,RF,0.7307692307692307,{'clf__n_estimators': 200},0.6867424242424243
el,Greek,44,welch,20,20,52,29,RF,0.75,{'clf__n_estimators': 100},0.6501893939393939
el,Greek,44,welch,50,50,52,29,LR,0.8076923076923077,{'clf__C': 10},0.6988636363636364
el,Greek,44,welch,100,100,52,29,LR,0.7307692307692307,{'clf__C': 0.1},0.6683712121212121
el,Greek,44,welch,all,192,52,29,DT,0.7692307692307693,{'clf__max_depth': 10},0.6935606060606061
el,Greek,44,welch_bonferroni,5,5,52,29,RF,0.7307692307692307,{'clf__n_estimators': 50},0.6984848484848485
el,Greek,44,welch_bonferroni,10,10,52,29,RF,0.7307692307692307,{'clf__n_estimators': 200},0.6867424242424243
el,Greek,44,welch_bonferroni,20,20,52,29,RF,0.6923076923076923,{'clf__n_estimators': 100},0.7117424242424242
el,Greek,44,welch_bonferroni,50,50,52,29,LR,0.7692307692307693,{'clf__C': 10},0.674810606060606
el,Greek,44,welch_bonferroni,100,100,52,29,RF,0.7692307692307693,{'clf__n_estimators': 100},0.6744318181818182
el,Greek,44,welch_bonferroni,all,192,52,29,DT,0.7692307692307693,{'clf__max_depth': 10},0.6935606060606061
en,English,45,anova,5,5,472,381,LR,0.8135593220338984,{'clf__C': 1},0.7840914987460001
en,English,45,anova,10,10,472,381,RF,0.8453389830508474,{'clf__n_estimators': 50},0.8125198189627836
en,English,45,anova,20,20,472,381,LR,0.826271186440678,{'clf__C': 1},0.7942964628556604
en,English,45,anova,50,50,472,381,RF,0.8580508474576272,{'clf__n_estimators': 100},0.8098215572659921
en,English,45,anova,100,100,472,381,RF,0.8580508474576272,{'clf__n_estimators': 50},0.7851566779094238
en,English,45,anova,all,193,472,381,RF,0.8580508474576272,{'clf__n_estimators': 50},0.777112341087953
en,English,45,welch,5,5,472,381,RF,0.7966101694915254,{'clf__n_estimators': 200},0.7835596298538442
en,English,45,welch,10,10,472,381,DT,0.809322033898305,{'clf__max_depth': 10},0.7674608665571219
en,English,45,welch,20,20,472,381,RF,0.8283898305084746,{'clf__n_estimators': 200},0.7979820692438526
en,English,45,welch,50,50,472,381,RF,0.8495762711864406,{'clf__n_estimators': 100},0.8017743376862981
en,English,45,welch,100,70,472,381,RF,0.864406779661017,{'clf__n_estimators': 100},0.8082129781775202
en,English,45,welch,all,193,472,381,RF,0.8580508474576272,{'clf__n_estimators': 50},0.777112341087953
en,English,45,welch_bonferroni,5,5,472,381,LR,0.8135593220338984,{'clf__C': 1},0.7739038311856785
en,English,45,welch_bonferroni,10,10,472,381,RF,0.8411016949152542,{'clf__n_estimators': 50},0.8044423304217474
en,English,45,welch_bonferroni,20,20,472,381,RF,0.8411016949152542,{'clf__n_estimators': 100},0.7996021793652167
en,English,45,welch_bonferroni,50,50,472,381,RF,0.8559322033898306,{'clf__n_estimators': 100},0.8028438409870564
en,English,45,welch_bonferroni,100,70,472,381,RF,0.8622881355932204,{'clf__n_estimators': 100},0.807134826602093
en,English,45,welch_bonferroni,all,193,472,381,RF,0.8580508474576272,{'clf__n_estimators': 50},0.777112341087953
es,Spanish,45,anova,5,5,54,25,RF,0.7407407407407407,{'clf__n_estimators': 200},0.6641843971631205
es,Spanish,45,anova,10,10,54,25,DT,0.7407407407407407,{'clf__max_depth': 10},0.5716312056737589
es,Spanish,45,anova,20,20,54,25,LR,0.7592592592592593,{'clf__C': 10},0.7190602836879433
es,Spanish,45,anova,50,50,54,25,RF,0.7777777777777778,{'clf__n_estimators': 100},0.7017730496453901
es,Spanish,45,anova,100,69,54,25,RF,0.7592592592592593,{'clf__n_estimators': 200},0.6804964539007093
es,Spanish,45,anova,all,69,54,25,LR,0.7407407407407407,{'clf__C': 0.1},0.7191489361702128
es,Spanish,45,welch,5,5,54,25,SVM,0.6666666666666666,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.6929964539007092
es,Spanish,45,welch,10,10,54,25,LR,0.7037037037037037,{'clf__C': 10},0.7016843971631206
es,Spanish,45,welch,20,20,54,25,RF,0.7407407407407407,{'clf__n_estimators': 50},0.6554078014184397
es,Spanish,45,welch,50,50,54,25,RF,0.7037037037037037,{'clf__n_estimators': 100},0.6891843971631205
es,Spanish,45,welch,100,69,54,25,LR,0.7407407407407407,{'clf__C': 0.1},0.7191489361702128
es,Spanish,45,welch,all,69,54,25,LR,0.7407407407407407,{'clf__C': 0.1},0.7191489361702128
