run_name,subset,top_k,num_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,language_code,language,ranking_method,ranking_description,tested_features,bonferroni_significant_features,fdr_significant_features
language_es_all_rich,all_universal,10,10,lr,c1,0.6885245901639344,0.6660206718346253,0.6510087323095453,0.6111111111111112,0.7209302325581395,0.4782608695652174,0.7338501291989664,0.612265129815972,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,10,10,dt,depth20,0.6885245901639344,0.6337209302325582,0.6314785373608903,0.5,0.7674418604651163,0.4736842105263157,0.6337209302325582,0.3843830888697153,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,5,5,svm,rbf_c1,0.6721311475409836,0.6866925064599483,0.6510297482837528,0.7222222222222222,0.6511627906976745,0.4642857142857143,0.7829457364341085,0.5373764468824991,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,100,69,svm,linear_c1,0.6721311475409836,0.6382428940568475,0.6280487804878049,0.5555555555555556,0.7209302325581395,0.4545454545454545,0.6459948320413437,0.5619364438044554,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,all,69,svm,linear_c1,0.6721311475409836,0.6382428940568475,0.6280487804878049,0.5555555555555556,0.7209302325581395,0.4545454545454545,0.6459948320413437,0.5619364438044554,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,50,50,lr,c1,0.6721311475409836,0.6382428940568475,0.6280487804878049,0.5555555555555556,0.7209302325581395,0.4545454545454545,0.6291989664082687,0.5881754371860021,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,100,69,dt,depth20,0.6557377049180327,0.5781653746770026,0.5793103448275863,0.3888888888888889,0.7674418604651163,0.4117647058823529,0.5781653746770026,0.3404585878067073,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,50,50,svm,linear_c1,0.639344262295082,0.582687338501292,0.5795739348370927,0.4444444444444444,0.7209302325581395,0.4,0.5839793281653747,0.4988900194845163,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,50,50,dt,depth20,0.6229508196721312,0.5387596899224806,0.5392446633825945,0.3333333333333333,0.7441860465116279,0.3529411764705882,0.5387596899224806,0.3143683702989392,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,all,69,dt,depth20,0.6229508196721312,0.5387596899224806,0.5392446633825945,0.3333333333333333,0.7441860465116279,0.3529411764705882,0.5387596899224806,0.3143683702989392,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,20,20,dt,depth20,0.5737704918032787,0.5200258397932817,0.5164634146341464,0.3888888888888889,0.6511627906976745,0.3181818181818182,0.5200258397932817,0.3040652425898327,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_zh_all_rich,all_universal,all,192,svm,linear_c1,0.8125,0.7813390313390314,0.784133837021047,0.6923076923076923,0.8703703703703703,0.72,0.9138176638176638,0.846424739702292,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
