feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
extended_excluding_task_specific,el,Greek,43,welch_bonferroni,all,205,382,205,14,43,29,LR,0.7441860465116279,{'clf__C': 0.1},0.68
extended_excluding_task_specific,en,English,44,anova,5,5,382,208,42,446,381,RF,0.7959641255605381,{'clf__n_estimators': 100},0.8013234530475909
extended_excluding_task_specific,en,English,44,anova,10,10,382,208,42,446,381,RF,0.8228699551569507,{'clf__n_estimators': 100},0.8235470787194925
extended_excluding_task_specific,en,English,44,anova,20,20,382,208,42,446,381,RF,0.8161434977578476,{'clf__n_estimators': 100},0.8097834477144822
extended_excluding_task_specific,en,English,44,anova,50,50,382,208,42,446,381,RF,0.8363228699551569,{'clf__n_estimators': 50},0.8060923750578922
extended_excluding_task_specific,en,English,44,anova,100,100,382,208,42,446,381,RF,0.827354260089686,{'clf__n_estimators': 200},0.7902165522855178
extended_excluding_task_specific,en,English,44,anova,all,208,382,208,42,446,381,RF,0.8228699551569507,{'clf__n_estimators': 50},0.7843922361163741
extended_excluding_task_specific,en,English,44,welch_bonferroni,5,5,382,208,42,446,381,RF,0.8183856502242153,{'clf__n_estimators': 200},0.8166687718411858
extended_excluding_task_specific,en,English,44,welch_bonferroni,10,10,382,208,42,446,381,DT,0.8251121076233184,{'clf__max_depth': 10},0.7854420164764992
extended_excluding_task_specific,en,English,44,welch_bonferroni,20,20,382,208,42,446,381,RF,0.8228699551569507,{'clf__n_estimators': 200},0.8214306766030903
extended_excluding_task_specific,en,English,44,welch_bonferroni,50,50,382,208,42,446,381,RF,0.8340807174887892,{'clf__n_estimators': 100},0.8113847837985769
extended_excluding_task_specific,en,English,44,welch_bonferroni,100,85,382,208,42,446,381,RF,0.827354260089686,{'clf__n_estimators': 100},0.8007971594178492
extended_excluding_task_specific,en,English,44,welch_bonferroni,all,208,382,208,42,446,381,RF,0.8228699551569507,{'clf__n_estimators': 50},0.7843922361163741
extended_excluding_task_specific,es,Spanish,44,anova,5,5,382,83,5,67,25,DT,0.7611940298507462,{'clf__max_depth': 10},0.6444444444444445
extended_excluding_task_specific,es,Spanish,44,anova,10,10,382,83,5,67,25,LR,0.7611940298507462,{'clf__C': 0.1},0.6799999999999999
extended_excluding_task_specific,es,Spanish,44,anova,20,20,382,83,5,67,25,SVM,0.7611940298507462,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6755555555555556
