feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
task_specific_only,zh,Chinese,43,welch_bonferroni,all,19,92,19,12,78,45,LR,0.7564102564102564,{'clf__C': 0.1},0.6537671232876712
task_specific_only,el,Greek,43,anova,5,5,92,53,3,43,29,SVM,0.813953488372093,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.6099159663865545
task_specific_only,el,Greek,43,anova,10,10,92,53,3,43,29,LR,0.7209302325581395,{'clf__C': 0.1},0.633109243697479
task_specific_only,el,Greek,43,anova,20,20,92,53,3,43,29,LR,0.6744186046511628,{'clf__C': 1},0.6973109243697481
task_specific_only,el,Greek,43,anova,50,50,92,53,3,43,29,LR,0.6511627906976745,{'clf__C': 1},0.703529411764706
task_specific_only,el,Greek,43,anova,100,53,92,53,3,43,29,LR,0.6511627906976745,{'clf__C': 1},0.703529411764706
task_specific_only,el,Greek,43,anova,all,53,92,53,3,43,29,LR,0.6511627906976745,{'clf__C': 1},0.703529411764706
task_specific_only,el,Greek,43,welch_bonferroni,5,5,92,53,3,43,29,SVM,0.813953488372093,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.6099159663865545
task_specific_only,el,Greek,43,welch_bonferroni,10,10,92,53,3,43,29,LR,0.7209302325581395,{'clf__C': 0.1},0.6389915966386555
task_specific_only,el,Greek,43,welch_bonferroni,20,20,92,53,3,43,29,DT,0.6511627906976745,{'clf__max_depth': 10},0.6445378151260505
task_specific_only,el,Greek,43,welch_bonferroni,50,43,92,53,3,43,29,LR,0.6511627906976745,{'clf__C': 1},0.7092436974789917
task_specific_only,el,Greek,43,welch_bonferroni,100,43,92,53,3,43,29,LR,0.6511627906976745,{'clf__C': 1},0.7092436974789917
task_specific_only,el,Greek,43,welch_bonferroni,all,53,92,53,3,43,29,LR,0.6511627906976745,{'clf__C': 1},0.703529411764706
task_specific_only,en,English,44,anova,5,5,92,43,8,446,381,DT,0.773542600896861,{'clf__max_depth': 10},0.7515655481172723
task_specific_only,en,English,44,anova,10,10,92,43,8,446,381,DT,0.7802690582959642,{'clf__max_depth': 10},0.738338034889759
