feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
full_feature_set,el,Greek,43,welch_bonferroni,all,258,474,258,17,43,29,RF,0.7674418604651163,{'clf__n_estimators': 200},0.7731092436974791
full_feature_set,en,English,44,anova,5,5,474,251,50,446,381,RF,0.7959641255605381,{'clf__n_estimators': 100},0.8013234530475909
full_feature_set,en,English,44,anova,10,10,474,251,50,446,381,LR,0.8183856502242153,{'clf__C': 0.1},0.7711689332378988
full_feature_set,en,English,44,anova,20,20,474,251,50,446,381,LR,0.8139013452914798,{'clf__C': 0.1},0.7775167361374258
full_feature_set,en,English,44,anova,50,50,474,251,50,446,381,RF,0.8408071748878924,{'clf__n_estimators': 100},0.7796373486028659
full_feature_set,en,English,44,anova,100,100,474,251,50,446,381,LR,0.8408071748878924,{'clf__C': 0.1},0.7415407070579485
full_feature_set,en,English,44,anova,all,251,474,251,50,446,381,LR,0.8385650224215246,{'clf__C': 0.1},0.7394200945925083
full_feature_set,en,English,44,welch_bonferroni,5,5,474,251,50,446,381,LR,0.8183856502242153,{'clf__C': 0.1},0.784396446465412
full_feature_set,en,English,44,welch_bonferroni,10,10,474,251,50,446,381,LR,0.8251121076233184,{'clf__C': 0.1},0.7727562348252004
full_feature_set,en,English,44,welch_bonferroni,20,20,474,251,50,446,381,DT,0.820627802690583,{'clf__max_depth': 10},0.7584410480962205
full_feature_set,en,English,44,welch_bonferroni,50,50,474,251,50,446,381,RF,0.8408071748878924,{'clf__n_estimators': 200},0.7854616647720096
full_feature_set,en,English,44,welch_bonferroni,100,100,474,251,50,446,381,LR,0.8318385650224215,{'clf__C': 0.1},0.7452387969629349
full_feature_set,en,English,44,welch_bonferroni,all,251,474,251,50,446,381,LR,0.8385650224215246,{'clf__C': 0.1},0.7394200945925083
full_feature_set,es,Spanish,44,anova,5,5,474,99,13,67,25,DT,0.7611940298507462,{'clf__max_depth': 10},0.6666666666666666
full_feature_set,es,Spanish,44,anova,10,10,474,99,13,67,25,RF,0.7611940298507462,{'clf__n_estimators': 100},0.72
full_feature_set,es,Spanish,44,anova,20,20,474,99,13,67,25,RF,0.746268656716418,{'clf__n_estimators': 100},0.72
full_feature_set,es,Spanish,44,anova,50,50,474,99,13,67,25,LR,0.7611940298507462,{'clf__C': 0.1},0.7466666666666667
full_feature_set,es,Spanish,44,anova,100,99,474,99,13,67,25,RF,0.746268656716418,{'clf__n_estimators': 200},0.7022222222222222
full_feature_set,es,Spanish,44,anova,all,99,474,99,13,67,25,LR,0.7164179104477612,{'clf__C': 1},0.711111111111111
full_feature_set,es,Spanish,44,welch_bonferroni,5,5,474,99,13,67,25,RF,0.7611940298507462,{'clf__n_estimators': 50},0.7288888888888889
full_feature_set,es,Spanish,44,welch_bonferroni,10,10,474,99,13,67,25,RF,0.7611940298507462,{'clf__n_estimators': 200},0.7155555555555555
full_feature_set,es,Spanish,44,welch_bonferroni,20,20,474,99,13,67,25,RF,0.7313432835820896,{'clf__n_estimators': 100},0.7155555555555556
full_feature_set,es,Spanish,44,welch_bonferroni,50,50,474,99,13,67,25,LR,0.746268656716418,{'clf__C': 0.1},0.7466666666666667
full_feature_set,es,Spanish,44,welch_bonferroni,100,92,474,99,13,67,25,RF,0.7164179104477612,{'clf__n_estimators': 200},0.72
full_feature_set,es,Spanish,44,welch_bonferroni,all,99,474,99,13,67,25,LR,0.7164179104477612,{'clf__C': 1},0.711111111111111
full_feature_set,zh,Chinese,44,anova,5,5,474,225,68,76,45,RF,0.7105263157894737,{'clf__n_estimators': 100},0.6884322678843227
full_feature_set,zh,Chinese,44,anova,10,10,474,225,68,76,45,RF,0.7105263157894737,{'clf__n_estimators': 100},0.7435312024353121
full_feature_set,zh,Chinese,44,anova,20,20,474,225,68,76,45,RF,0.8157894736842105,{'clf__n_estimators': 100},0.7408295281582953
full_feature_set,zh,Chinese,44,anova,50,50,474,225,68,76,45,RF,0.868421052631579,{'clf__n_estimators': 100},0.7573439878234398
