timestamp,smoke,seed,model,pooling,length_mode,training,translated,task,test_language,classifier,actual,predicted,count
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,HC,MCI,0
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,HC,Dementia,0
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,Dementia,HC,17
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,MCI,Dementia,4
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,Dementia,HC,10
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,Dementia,MCI,2
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,HC,MCI,2
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,HC,HC,34
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,HC,Dementia,4
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,MCI,HC,12
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,Dementia,MCI,7
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,MCI,Dementia,3
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,Dementia,Dementia,3
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,HC,Dementia,3
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,HC,HC,27
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,MCI,MCI,5
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,MCI,HC,9
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,MCI,HC,17
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,MCI,MCI,0
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,Dementia,Dementia,6
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,Dementia,HC,7
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,DT,Dementia,Dementia,40
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,LR,HC,HC,131
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,DT,Dementia,HC,23
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,RF,HC,Dementia,8
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,DT,HC,HC,117
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,RF,Dementia,Dementia,48
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,RF,Dementia,HC,15
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,DT,HC,Dementia,14
2026-05-15 22:06:54,False,42,xlm-roberta-base,cls,truncate,multi,no,binary,en,SVM,HC,Dementia,10
