feature_name,feature_group,task_specific,valid_task_types,requires_text,requires_audio,language_dependent_tooling,description
ac_egemaps_f3bandwidth_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f3bandwidth sma3nz stddevnorm
ac_egemaps_f3amplitudelogrelf0_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f3amplitudelogrelf0 sma3nz amean
ac_egemaps_f3amplitudelogrelf0_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f3amplitudelogrelf0 sma3nz stddevnorm
ac_egemaps_alpharatiov_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps alpharatiov sma3nz amean
ac_egemaps_alpharatiov_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps alpharatiov sma3nz stddevnorm
ac_egemaps_hammarbergindexv_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps hammarbergindexv sma3nz amean
ac_egemaps_hammarbergindexv_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps hammarbergindexv sma3nz stddevnorm
ac_egemaps_slopev0_500_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps slopev0 500 sma3nz amean
ac_egemaps_slopev0_500_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps slopev0 500 sma3nz stddevnorm
ac_egemaps_slopev500_1500_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps slopev500 1500 sma3nz amean
ac_egemaps_slopev500_1500_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps slopev500 1500 sma3nz stddevnorm
ac_egemaps_spectralfluxv_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps spectralfluxv sma3nz amean
ac_egemaps_spectralfluxv_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps spectralfluxv sma3nz stddevnorm
ac_egemaps_mfcc1v_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps mfcc1v sma3nz amean
ac_egemaps_mfcc1v_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps mfcc1v sma3nz stddevnorm
ac_egemaps_mfcc2v_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps mfcc2v sma3nz amean
ac_egemaps_mfcc2v_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps mfcc2v sma3nz stddevnorm
ac_egemaps_mfcc3v_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps mfcc3v sma3nz amean
