Loading manifest and rich feature table
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=lr:c1 bal_acc=0.667 auroc=0.739
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=dt:depth20 bal_acc=0.626 auroc=0.624
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=rf:n200 bal_acc=0.648 auroc=0.809
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=svm:linear_c1 bal_acc=0.682 auroc=0.738
benchmark_wide_rich: subset=text_plus_pause top_k=50 model=svm:rbf_c1 bal_acc=0.703 auroc=0.774
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=lr:c1 bal_acc=0.685 auroc=0.736
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=dt:depth20 bal_acc=0.650 auroc=0.642
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=rf:n200 bal_acc=0.652 auroc=0.797
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=svm:linear_c1 bal_acc=0.698 auroc=0.727
benchmark_wide_rich: subset=text_plus_pause top_k=100 model=svm:rbf_c1 bal_acc=0.699 auroc=0.771
benchmark_wide_rich: subset=text_plus_pause top_k=all model=lr:c1 bal_acc=0.686 auroc=0.736
benchmark_wide_rich: subset=text_plus_pause top_k=all model=dt:depth20 bal_acc=0.651 auroc=0.643
benchmark_wide_rich: subset=text_plus_pause top_k=all model=rf:n200 bal_acc=0.644 auroc=0.794
benchmark_wide_rich: subset=text_plus_pause top_k=all model=svm:linear_c1 bal_acc=0.698 auroc=0.727
benchmark_wide_rich: subset=text_plus_pause top_k=all model=svm:rbf_c1 bal_acc=0.699 auroc=0.771
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=5 model=lr:c1 bal_acc=0.599 auroc=0.655
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=5 model=dt:depth20 bal_acc=0.629 auroc=0.606
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=5 model=rf:n200 bal_acc=0.631 auroc=0.686
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=5 model=svm:linear_c1 bal_acc=0.627 auroc=0.672
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=5 model=svm:rbf_c1 bal_acc=0.667 auroc=0.710
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=10 model=lr:c1 bal_acc=0.666 auroc=0.703
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=10 model=dt:depth20 bal_acc=0.665 auroc=0.655
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=10 model=rf:n200 bal_acc=0.671 auroc=0.760
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=10 model=svm:linear_c1 bal_acc=0.659 auroc=0.712
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=10 model=svm:rbf_c1 bal_acc=0.704 auroc=0.755
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=20 model=lr:c1 bal_acc=0.676 auroc=0.715
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=20 model=dt:depth20 bal_acc=0.650 auroc=0.651
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=20 model=rf:n200 bal_acc=0.662 auroc=0.767
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=20 model=svm:linear_c1 bal_acc=0.676 auroc=0.723
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=20 model=svm:rbf_c1 bal_acc=0.715 auroc=0.760
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=50 model=lr:c1 bal_acc=0.669 auroc=0.739
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=50 model=dt:depth20 bal_acc=0.650 auroc=0.648
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=50 model=rf:n200 bal_acc=0.655 auroc=0.810
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=50 model=svm:linear_c1 bal_acc=0.685 auroc=0.739
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=50 model=svm:rbf_c1 bal_acc=0.711 auroc=0.785
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=100 model=lr:c1 bal_acc=0.690 auroc=0.735
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=100 model=dt:depth20 bal_acc=0.640 auroc=0.637
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=100 model=rf:n200 bal_acc=0.648 auroc=0.799
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=100 model=svm:linear_c1 bal_acc=0.704 auroc=0.726
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=100 model=svm:rbf_c1 bal_acc=0.704 auroc=0.776
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=all model=lr:c1 bal_acc=0.690 auroc=0.735
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=all model=dt:depth20 bal_acc=0.642 auroc=0.639
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=all model=rf:n200 bal_acc=0.644 auroc=0.796
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=all model=svm:linear_c1 bal_acc=0.704 auroc=0.726
benchmark_wide_rich: subset=text_plus_pause_plus_graph top_k=all model=svm:rbf_c1 bal_acc=0.704 auroc=0.776
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=5 model=lr:c1 bal_acc=0.599 auroc=0.655
