language,feature_name,feature_group,t_statistic,p_value,mean_ad,mean_hc,median_ad,median_hc,cohens_d,cohens_d_abs,direction,bonferroni_p,fdr_bh_p,significant_bonferroni,significant_fdr,tested_features,bonferroni_significant_count,fdr_significant_count
Pooled,pause_filled_per_100_words,pause,5.767447479599801,1.0800912856961732e-08,0.7688751866100303,0.38293662526402406,0.0,0.0,0.27463891545844327,0.27463891545844327,AD>HC,5.076429042772014e-07,2.4173471632247685e-08,True,True,47,35,43
Pooled,len_mean_utterance_length,len,5.636899219089439,2.475988345999174e-08,48.90363638259744,16.943320466209997,11.5,9.61111111111111,0.29570466060152706,0.29570466060152706,AD>HC,1.1637145226196117e-06,5.0596283592157034e-08,True,True,47,35,43
Pooled,syn_mean_utterance_length_words,syn,5.636899219089439,2.475988345999174e-08,48.90363638259744,16.943320466209997,11.5,9.61111111111111,0.29570466060152706,0.29570466060152706,AD>HC,1.1637145226196117e-06,5.0596283592157034e-08,True,True,47,35,43
Pooled,syn_clause_density,syn,5.475217819972617,5.973138441935718e-08,8.523075445459797,2.7017870325394786,1.52,0.8,0.28461523227376634,0.28461523227376634,AD>HC,2.8073750677097877e-06,1.1697396115457449e-07,True,True,47,35,43
Pooled,lex_mattr_20,lex,-5.298967151894849,1.454622155794756e-07,0.8399579514259874,0.857235204569505,0.8523880597014928,0.8588036565977741,-0.2558332619345551,0.2558332619345551,AD<HC,6.836724132235352e-06,2.734689652894141e-07,True,True,47,35,43
Pooled,pause_filled_count,pause,5.271702039739035,1.6862555360805013e-07,1.2831241283124128,0.6046892039258451,0.0,0.0,0.25566385762823407,0.25566385762823407,AD>HC,7.925401019578357e-06,3.048231161376291e-07,True,True,47,35,43
Pooled,syn_adv_ratio,syn,5.189521721556211,2.5148408861221125e-07,0.035370037992871785,0.026145189572683185,0.0254237288135593,0.0,0.2396783582896878,0.2396783582896878,AD>HC,1.181975216477393e-05,4.377685986953307e-07,True,True,47,35,43
Pooled,syn_subordination_ratio,syn,4.772204809070165,2.187234212404351e-06,5.034691559877316,1.6593415256775967,0.5714285714285714,0.0,0.24683665333158364,0.24683665333158364,AD>HC,0.00010280000798300451,3.5763536114179046e-06,True,True,47,35,43
Pooled,syn_noun_ratio,syn,4.752864779026355,2.2066862708748774e-06,0.15165634959945304,0.1249313893620718,0.1678321678321678,0.1304347826086956,0.20468484782724258,0.20468484782724258,AD>HC,0.00010371425473111923,3.5763536114179046e-06,True,True,47,35,43
Pooled,disc_repeated_unigram_ratio,disc,-4.295700666405414,1.8577074962932416e-05,0.3514666556758549,0.378600993105849,0.3428571428571428,0.3563787413224081,-0.18473412645714088,0.18473412645714088,AD<HC,0.0008731225232578235,2.7285078851808066e-05,True,True,47,35,43
Pooled,lex_repetition_rate,lex,-4.295700666405414,1.8577074962932416e-05,0.3514666556758549,0.378600993105849,0.3428571428571428,0.3563787413224081,-0.18473412645714088,0.18473412645714088,AD<HC,0.0008731225232578235,2.7285078851808066e-05,True,True,47,35,43
Pooled,lex_type_token_ratio,lex,4.295700666405405,1.857707496293315e-05,0.648533344324145,0.621399006894151,0.6571428571428571,0.6436212586775919,0.18473412645714046,0.18473412645714046,AD>HC,0.0008731225232578581,2.7285078851808066e-05,True,True,47,35,43
Pooled,lex_std_token_length,lex,3.9627282933326256,7.809054516139439e-05,2.527973690377657,2.3891900763855682,2.7023059536104923,2.6382913909911854,0.17441515728591322,0.17441515728591322,AD>HC,0.003670255622585536,0.00011121986735107685,True,True,47,35,43
Pooled,len_std_utterance_length,len,3.83848494608535,0.0001324614246982675,9.017325042640016,6.968102776373953,4.6255330023204415,5.19803910869253,0.18727571393445644,0.18727571393445644,AD>HC,0.0062256869608185725,0.00018310844002407566,True,True,47,35,43
Pooled,syn_adj_ratio,syn,3.6900323887093607,0.00023515389074274344,0.02622939888539098,0.02064664980823935,0.0172413793103448,0.0,0.1696349789699325,0.1696349789699325,AD>HC,0.011052232864908942,0.00031577808185454117,True,True,47,35,43
Pooled,disc_repeated_trigram_ratio,disc,3.190638870073803,0.00147137740160379,0.030765257628145637,0.02336345742692544,0.0142857142857142,0.0138888888888888,0.1582062543100215,0.1582062543100215,AD>HC,0.06915473787537813,0.0019209649409827256,False,True,47,35,43
Pooled,syn_verb_ratio,syn,3.1365359255029204,0.001744683949218237,0.08897248039033602,0.07759519371818768,0.0886075949367088,0.05486978774650005,0.13546331121850194,0.13546331121850194,AD>HC,0.08200014561325714,0.0022162201517096523,False,True,47,35,43
Pooled,lex_hapax_ratio,lex,2.9140710159160297,0.0036275899563202865,0.49548229011908895,0.47411732554436437,0.4965986394557823,0.4866642958748222,0.12803700418844105,0.12803700418844105,AD>HC,0.17049672794705348,0.004486755998606671,False,True,47,35,43
Pooled,disc_immediate_repetition_count,disc,2.68252852048764,0.00745925430102098,1.0264993026499303,0.589422028353326,0.0,0.0,0.13654215395701635,0.13654215395701635,AD>HC,0.3505849521479861,0.008989357747384259,False,True,47,35,43
Pooled,graph_self_loop_ratio,graph,2.6202357831218976,0.008969289202470903,0.006638789766101718,0.002743054997764359,0.0,0.0,0.13727776567658556,0.13727776567658556,AD>HC,0.4215565925161324,0.01053891481290331,False,True,47,35,43
Pooled,syn_sconj_ratio,syn,-2.564065324037355,0.010438750712466789,0.010364372073540212,0.012728882491602615,0.0,0.0,-0.10843429250717086,0.10843429250717086,AD<HC,0.4906212834859391,0.011966372767949734,False,True,47,35,43
Pooled,syn_adp_ratio,syn,2.074622110443714,0.038197514944095345,0.047306830741745166,0.042745156205674636,0.0384615384615384,0.0,0.08913311874640036,0.08913311874640036,AD>HC,1.0,0.04274483815172574,False,True,47,35,43
Pooled,lex_lemma_type_token_ratio,lex,2.044164655309143,0.04112609065933362,0.6292754341898301,0.6160925702809614,0.6404494382022472,0.6405739379084967,0.08879467731010741,0.08879467731010741,AD>HC,1.0,0.04495177351136465,False,True,47,35,43
Pooled,lex_mean_token_length,lex,1.2851675732854935,0.19895071794015606,4.241285426732457,4.180447230579392,4.28169014084507,4.483997276132108,0.05595431479694125,0.05595431479694125,AD>HC,1.0,0.212515539617894,False,False,47,35,43
Pooled,pause_pause_to_word_ratio,pause,1.0715514289063772,0.2841803468153394,0.045844817912221766,0.03674543156041119,0.0,0.0,0.05065606788766862,0.05065606788766862,AD>HC,1.0,0.29611166289443613,False,False,47,35,43
Pooled,disc_repeated_bigram_ratio,disc,1.0590211019732432,0.289811414747746,0.09175153645936733,0.08793298423362862,0.0757575757575757,0.0694444444444444,0.04810950973210656,0.04810950973210656,AD>HC,1.0,0.29611166289443613,False,False,47,35,43
Pooled,syn_part_ratio,syn,0.4876269920005466,0.6258790021177458,0.019098331668416353,0.01843399925917563,0.0,0.0,0.020348822349929872,0.020348822349929872,AD>HC,1.0,0.6258790021177458,False,False,47,35,43
