run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_zh_all_rich,text_plus_pause_plus_acoustic,100,100,svm,rbf_c1,0.7143874643874644,0.7205368633940062,0.5769230769230769,0.8518518518518519,0.6521739130434783,0.8340455840455842,0.7262877662794729,0.7625
language_zh_all_rich,text_plus_pause_plus_graph,50,50,svm,rbf_c1,0.7243589743589745,0.7265695268933261,0.6153846153846154,0.8333333333333334,0.64,0.834045584045584,0.7305111008743645,0.7625
language_zh_all_rich,text_only,50,50,rf,n200,0.6645299145299145,0.6778978597160414,0.3846153846153846,0.9444444444444444,0.7692307692307693,0.8304843304843306,0.702200056729038,0.7625
language_zh_all_rich,all_universal,20,20,svm,linear_c1,0.6944444444444444,0.7062801932367149,0.5,0.8888888888888888,0.6842105263157895,0.801994301994302,0.7497460630689816,0.7625
language_zh_all_rich,text_plus_pause_plus_acoustic,20,20,svm,linear_c1,0.6944444444444444,0.7062801932367149,0.5,0.8888888888888888,0.6842105263157895,0.801994301994302,0.7497460630689816,0.7625
language_zh_all_rich,all_universal,20,20,svm,rbf_c1,0.6944444444444444,0.7062801932367149,0.5,0.8888888888888888,0.6842105263157895,0.7841880341880342,0.7405209179824164,0.7625
language_zh_all_rich,text_plus_pause_plus_acoustic,20,20,svm,rbf_c1,0.6944444444444444,0.7062801932367149,0.5,0.8888888888888888,0.6842105263157895,0.7841880341880342,0.7405209179824164,0.7625
language_zh_all_rich,text_plus_pause,100,82,dt,depth20,0.7243589743589745,0.7265695268933261,0.6153846153846154,0.8333333333333334,0.64,0.7243589743589745,0.518846153846154,0.7625
language_zh_all_rich,text_plus_pause_plus_graph,100,87,dt,depth20,0.7143874643874644,0.7205368633940062,0.5769230769230769,0.8518518518518519,0.6521739130434783,0.7143874643874644,0.5137541806020067,0.7625
language_zh_all_rich,pause_only,20,20,rf,n200,0.6752136752136753,0.6865203761755485,0.4615384615384615,0.8888888888888888,0.6666666666666666,0.8557692307692308,0.728543685248349,0.75
language_zh_all_rich,all_universal,20,20,lr,c1,0.6752136752136753,0.6865203761755485,0.4615384615384615,0.8888888888888888,0.6666666666666666,0.8297720797720798,0.7561215282766871,0.75
