run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_el_all_rich,text_plus_pause_plus_acoustic,50,50,rf,n200,0.7321428571428572,0.7321428571428572,0.8214285714285714,0.6428571428571429,0.8214285714285714,0.8813775510204082,0.9404693265572518,0.7619047619047619
language_el_all_rich,acoustic_only,all,105,lr,c1,0.7857142857142857,0.7529411764705882,0.7142857142857143,0.8571428571428571,0.9090909090909092,0.8801020408163265,0.9392646346047432,0.7619047619047619
language_el_all_rich,acoustic_only,100,100,lr,c1,0.7857142857142857,0.7529411764705882,0.7142857142857143,0.8571428571428571,0.9090909090909092,0.875,0.9371198192865292,0.7619047619047619
language_el_all_rich,text_plus_pause_plus_acoustic,50,50,svm,rbf_c1,0.7857142857142857,0.7529411764705882,0.7142857142857143,0.8571428571428571,0.9090909090909092,0.8749999999999999,0.9326266988408256,0.7619047619047619
language_el_all_rich,all_universal,50,50,svm,rbf_c1,0.7857142857142857,0.7529411764705882,0.7142857142857143,0.8571428571428571,0.9090909090909092,0.8724489795918368,0.9343840272532062,0.7619047619047619
language_el_all_rich,text_plus_pause_plus_acoustic,50,50,lr,c1,0.8035714285714286,0.7569444444444444,0.6785714285714286,0.9285714285714286,0.95,0.8443877551020408,0.9339134231658236,0.7619047619047619
language_el_all_rich,text_plus_pause_plus_acoustic,100,100,svm,rbf_c1,0.7857142857142857,0.7529411764705882,0.7142857142857143,0.8571428571428571,0.9090909090909092,0.8418367346938777,0.9216903852094598,0.7619047619047619
language_el_all_rich,text_plus_pause_plus_acoustic,50,50,svm,linear_c1,0.7857142857142857,0.7529411764705882,0.7142857142857143,0.8571428571428571,0.9090909090909092,0.8418367346938775,0.9343042367848868,0.7619047619047619
language_el_all_rich,acoustic_only,20,20,lr,c1,0.7321428571428572,0.7321428571428572,0.8214285714285714,0.6428571428571429,0.8214285714285714,0.8392857142857143,0.9199911568409131,0.7619047619047619
language_el_all_rich,all_universal,10,10,rf,n200,0.7321428571428572,0.7321428571428572,0.8214285714285714,0.6428571428571429,0.8214285714285714,0.8380102040816326,0.9224251831157156,0.7619047619047619
language_el_all_rich,acoustic_only,10,10,rf,n200,0.7321428571428572,0.7321428571428572,0.8214285714285714,0.6428571428571429,0.8214285714285714,0.8380102040816326,0.9224251831157156,0.7619047619047619
language_el_all_rich,text_plus_pause_plus_acoustic,10,10,rf,n200,0.7321428571428572,0.7321428571428572,0.8214285714285714,0.6428571428571429,0.8214285714285714,0.8380102040816326,0.9224251831157156,0.7619047619047619
language_el_all_rich,all_universal,10,10,svm,linear_c1,0.75,0.7407407407407407,0.7857142857142857,0.7142857142857143,0.8461538461538461,0.8367346938775511,0.9126140473104424,0.7619047619047619
language_el_all_rich,acoustic_only,10,10,svm,linear_c1,0.75,0.7407407407407407,0.7857142857142857,0.7142857142857143,0.8461538461538461,0.8367346938775511,0.9126140473104424,0.7619047619047619
language_el_all_rich,text_plus_pause_plus_acoustic,10,10,svm,linear_c1,0.75,0.7407407407407407,0.7857142857142857,0.7142857142857143,0.8461538461538461,0.8367346938775511,0.9126140473104424,0.7619047619047619
language_el_all_rich,all_universal,10,10,lr,c1,0.75,0.7407407407407407,0.7857142857142857,0.7142857142857143,0.8461538461538461,0.836734693877551,0.9123523514848234,0.7619047619047619
language_el_all_rich,acoustic_only,10,10,lr,c1,0.75,0.7407407407407407,0.7857142857142857,0.7142857142857143,0.8461538461538461,0.836734693877551,0.9123523514848234,0.7619047619047619
language_el_all_rich,text_plus_pause_plus_acoustic,10,10,lr,c1,0.75,0.7407407407407407,0.7857142857142857,0.7142857142857143,0.8461538461538461,0.836734693877551,0.9123523514848234,0.7619047619047619
language_el_all_rich,text_plus_pause,all,82,rf,n200,0.7142857142857142,0.7214854111405835,0.8571428571428571,0.5714285714285714,0.8,0.6581632653061225,0.7102898269374978,0.7619047619047619
language_el_all_rich,all_universal,20,20,svm,rbf_c1,0.75,0.7254901960784313,0.7142857142857143,0.7857142857142857,0.8695652173913043,0.9056122448979592,0.9458891677791066,0.7380952380952381
language_el_all_rich,text_plus_pause_plus_acoustic,20,20,svm,rbf_c1,0.75,0.7254901960784313,0.7142857142857143,0.7857142857142857,0.8695652173913043,0.9056122448979592,0.9458891677791066,0.7380952380952381
language_el_all_rich,text_plus_pause_plus_acoustic,100,100,svm,linear_c1,0.8035714285714286,0.7367521367521368,0.6071428571428571,1.0,1.0,0.8979591836734694,0.9544064859064868,0.7380952380952381
language_el_all_rich,acoustic_only,50,50,lr,c1,0.75,0.7254901960784313,0.7142857142857143,0.7857142857142857,0.8695652173913043,0.8903061224489797,0.9496249225496648,0.7380952380952381
language_el_all_rich,all_universal,5,5,svm,rbf_c1,0.6964285714285714,0.6998050682261208,0.8214285714285714,0.5714285714285714,0.7931034482758621,0.8622448979591838,0.9366918063801732,0.7380952380952381
language_el_all_rich,acoustic_only,5,5,svm,rbf_c1,0.6964285714285714,0.6998050682261208,0.8214285714285714,0.5714285714285714,0.7931034482758621,0.8622448979591838,0.9366918063801732,0.7380952380952381
language_el_all_rich,text_plus_pause_plus_acoustic,5,5,svm,rbf_c1,0.6964285714285714,0.6998050682261208,0.8214285714285714,0.5714285714285714,0.7931034482758621,0.8622448979591838,0.9366918063801732,0.7380952380952381
language_el_all_rich,all_universal,all,192,lr,c1,0.75,0.7254901960784313,0.7142857142857143,0.7857142857142857,0.8695652173913043,0.8545918367346939,0.9338841575137204,0.7380952380952381
language_el_all_rich,text_plus_pause_plus_acoustic,all,187,svm,rbf_c1,0.75,0.7254901960784313,0.7142857142857143,0.7857142857142857,0.8695652173913043,0.8443877551020409,0.9222590419486054,0.7380952380952381
language_el_all_rich,text_plus_pause_plus_acoustic,all,187,svm,linear_c1,0.7678571428571428,0.7306122448979592,0.6785714285714286,0.8571428571428571,0.9047619047619048,0.8392857142857143,0.9249586057206244,0.7380952380952381
language_el_all_rich,all_universal,50,50,lr,c1,0.7857142857142858,0.7343300747556067,0.6428571428571429,0.9285714285714286,0.9473684210526316,0.8290816326530613,0.9221286281994552,0.7380952380952381
language_el_all_rich,text_plus_pause_plus_acoustic,all,187,lr,c1,0.75,0.7254901960784313,0.7142857142857143,0.7857142857142857,0.8695652173913043,0.8214285714285715,0.911468282495104,0.7380952380952381
language_el_all_rich,all_universal,100,100,svm,rbf_c1,0.7678571428571428,0.7306122448979592,0.6785714285714286,0.8571428571428571,0.9047619047619048,0.8214285714285714,0.9099870964109686,0.7380952380952381
language_el_all_rich,acoustic_only,100,100,dt,depth20,0.75,0.7254901960784313,0.7142857142857143,0.7857142857142857,0.8695652173913043,0.7500000000000001,0.8115942028985507,0.7380952380952381
